"STOP_NAME","MAP_ID","X","Y","avg_weekday_rides","avg_saturday_rides","avg_sunday.holiday_rides","monthtotal"
"Cicero (Loop-bound)",40420,41.85182,-87.745336,"636","460.8","369","17,414"
"Central Park (Loop-bound)",40780,41.853839,-87.714842,"548.9","335.8","264.3","14,455"
"Halsted/63rd (Ashland-bound)",40940,41.778943,-87.644244,"219.9","138","91.8","5,720"
"Cumberland (O'Hare-bound)",40230,41.984246,-87.838028,"1,475.8","746.8","605.8","37,613"
"Racine (O'Hare-bound)",40470,41.87592,-87.659458,"982.9","448.3","360.3","24,595"
"Paulina (Kimball-bound)",41310,41.943623,-87.670907,"1,440.7","965","608.8","37,767"
"18th (54th/Cermak-bound)",40830,41.857908,-87.669147,"931.6","715.3","490.8","25,369"
"Clark/Lake (Forest Pk-bound)",40380,41.885737,-87.630886,"6,802","2,811","2,357.3","168,229"
"Jefferson Park (Forest Pk-bound)",41280,41.970634,-87.760892,"3,329.8","1,834.3","1,496.3","86,240"
"Diversey (Loop-bound)",40530,41.932732,-87.653131,"2,721.6","1,634","1,045.5","69,963"
"Montrose (Kimball-bound)",41500,41.961756,-87.675047,"1,179.8","789.5","518.5","31,044"
"UIC-Halsted (O'Hare-bound)",40350,41.875474,-87.649707,"3,279.7","1,042.8","738.8","77,477"
"35-Bronzeville-IIT (63rd-bound)",41120,41.831677,-87.625826,"799.6","508","348","20,911"
"Foster (Howard-Loop-bound)",40520,42.05416,-87.68356,"380.7","375.3","209.8","10,754"
"Quincy/Wells (Outer Loop)",40040,41.878723,-87.63374,"3,530.1","821.3","731.2","81,804"
"Southport (Kimball-bound)",40360,41.943744,-87.663619,"1,720.6","1,359.5","900.3","46,972"
"Loyola (95th-bound)",41300,42.001073,-87.661061,"2,361.3","2,021","1,376.3","65,929"
"47th (Howard-bound)",41230,41.810318,-87.63094,"1,127.4","774","621","30,497"
"Bryn Mawr (Howard-bound)",41380,41.983504,-87.65884,"1,879","1,414.3","1,065.3","51,507"
"Harlem (Forest Pk Branch) (Terminal arrival)",40980,41.87349,-87.806961,"372.9","169.5","134.7","9,317"
"Howard (Terminal arrival)",40900,42.019063,-87.672892,"2,591.5","1,854","1,505","70,868"
"Kedzie (63rd-bound)",41070,41.884321,-87.706155,"616.1","346","286","16,039"
"King Drive (Harlem-bound)",41140,41.78013,-87.615546,"205.2","125.3","111.2","5,477"
"Ashland/63rd (Terminal arrival)",40290,41.77886,-87.663766,"413.1","255.5","225.2","11,048"
"95th/Dan Ryan (Howard-bound)",40450,41.722377,-87.624342,"4,123.6","2,586.5","2,107.3","109,585"
"Western (O'Hare Branch) (O'Hare-bound)",40670,41.916157,-87.687364,"2,407.9","1,394.8","1,039.5","62,381"
"Armitage (Loop-bound)",40660,41.918217,-87.652644,"2,283","1,387","912","58,964"
"95th/Dan Ryan (95th-bound)",40450,41.722377,-87.624342,"4,123.6","2,586.5","2,107.3","109,585"
"Roosevelt (Howard-bound)",41400,41.867368,-87.627402,"4,981.7","4,096.5","3,585.2","142,512"
"Belmont (95th-bound)",41320,41.939751,-87.65338,"5,423.6","4,890.3","3,594.3","155,023"
